,Date,Time ,Humidity,Voltage,Temperature,Pot,Experiment
0,16/02,Morning,WET,2.22,19,0,0
1,16/02,Morning,WET,2.39,19,0,0
2,16/02,Morning,WET,2.55,19,0,0
3,16/02,Morning,WET,2.76,19,0,0
4,16/02,Morning,WET,3.13,19,0,0
5,16/02,Night,DRY,1.33,21,0,0
6,16/02,Night,DRY,1.53,21,0,0
7,16/02,Night,DRY,1.76,21,0,0
8,16/02,Night,DRY,1.56,21,0,0
9,16/02,Night,DRY,1.36,21,0,0
10,17/02,Morning,DRY +,0.12,20,0,0
11,17/02,Morning,DRY +,0.12,20,0,0
12,17/02,Morning,DRY +,0.12,20,0,0
13,17/02,Morning,DRY +,0.19,20,0,0
14,17/02,Morning,DRY +,0.24,20,0,0
15,17/02,Night,DRY +,0.05,22,0,0
16,17/02,Night,DRY +,0.04,22,0,0
17,17/02,Night,DRY +,0.01,22,0,0
18,17/02,Night,DRY +,0.04,22,0,0
19,17/02,Night,DRY +,0.03,22,0,0
20,18/02,Morning,DRY +,0.02,20,0,0
21,18/02,Morning,DRY +,0.03,20,0,0
22,18/02,Morning,DRY +,0.06,20,0,0
23,18/02,Morning,DRY +,0.01,20,0,0
24,18/02,Morning,DRY +,0.03,20,0,0
25,18/02,Night,DRY +,0.05,22,0,0
26,18/02,Night,DRY +,0.04,22,0,0
27,18/02,Night,DRY +,0.02,22,0,0
28,18/02,Night,DRY +,0.01,22,0,0
29,18/02,Night,DRY +,0.02,22,0,0
30,19/02,Morning,WET,1,20,0,0
31,19/02,Morning,WET,0.66,20,0,0
32,19/02,Morning,WET,0.67,20,0,0
33,19/02,Morning,WET,0.66,20,0,0
34,19/02,Morning,WET,0.93,20,0,0
35,19/02,Night,NOR,1.49,21,0,0
36,19/02,Night,NOR,1.44,21,0,0
37,19/02,Night,NOR,0.82,21,0,0
38,19/02,Night,NOR,0.68,21,0,0
39,19/02,Night,NOR,0.84,21,0,0
40,20/02,Morning,DRY,0.67,20,0,0
41,20/02,Morning,DRY,0.65,20,0,0
42,20/02,Morning,DRY,0.42,20,0,0
43,20/02,Morning,DRY,0.58,20,0,0
44,20/02,Morning,DRY,0.88,20,0,0
45,20/02,Night,DRY +,0.05,20,0,0
46,20/02,Night,DRY +,0.03,20,0,0
47,20/02,Night,DRY +,0.08,20,0,0
48,20/02,Night,DRY +,0.1,20,0,0
49,20/02,Night,DRY +,0.09,20,0,0
50,21/02,Morning,DRY +,0.03,20,0,0
51,21/02,Morning,DRY +,0.02,20,0,0
52,21/02,Morning,DRY +,0.02,20,0,0
53,21/02,Morning,DRY +,0.05,20,0,0
54,21/02,Morning,DRY +,0.03,20,0,0
55,21/02,Night,DRY +,0.02,22,0,0
56,21/02,Night,DRY +,0,22,0,0
57,21/02,Night,DRY +,0,22,0,0
58,21/02,Night,DRY +,0,22,0,0
59,21/02,Night,DRY +,0,22,0,0
60,22/02,Morning,WET +,0.26,19,0,0
61,22/02,Morning,WET +,0.35,19,0,0
62,22/02,Morning,WET +,0.44,19,0,0
63,22/02,Morning,WET +,0.46,19,0,0
64,22/02,Morning,WET +,0.47,19,0,0
65,22/02,Night,WET,0.12,20,0,0
66,22/02,Night,WET,0.21,20,0,0
67,22/02,Night,WET,0.17,20,0,0
68,22/02,Night,WET,0.15,20,0,0
69,22/02,Night,WET,0.1,20,0,0
70,23/02,Morning,NOR,0.17,20,0,0
71,23/02,Morning,NOR,0.12,20,0,0
72,23/02,Morning,NOR,0.12,20,0,0
73,23/02,Morning,NOR,0.15,20,0,0
74,23/02,Morning,NOR,0.14,20,0,0
75,23/02,Night,DRY +,0.01,22,0,0
76,23/02,Night,DRY +,0.04,22,0,0
77,23/02,Night,DRY +,0.04,22,0,0
78,23/02,Night,DRY +,0.04,22,0,0
79,23/02,Night,DRY +,0.03,22,0,0
80,24/02,Morning,DRY +,0.05,20,0,0
81,24/02,Morning,DRY +,0,20,0,0
82,24/02,Morning,DRY +,0.02,20,0,0
83,24/02,Morning,DRY +,0.01,20,0,0
84,24/02,Morning,DRY +,0.02,20,0,0
85,24/02,Night,DRY +,0.01,21,0,0
86,24/02,Night,DRY +,0.07,21,0,0
87,24/02,Night,DRY +,0.03,21,0,0
88,24/02,Night,DRY +,0.02,21,0,0
