,Pot1,Pot2,Pot3,Pot4,Pot5
1,2.6100000000000003,0.8320000000000001,0.828,0.7060000000000001,0.646
2,0.266,0.006,0.002,0.006,0.012
3,0.306,0.004,0.16999999999999998,0.004,0.014000000000000002
4,0.352,0.006,0.158,0.006,0.012
5,0.312,0.002,0.16999999999999998,0.008,0.012
6,0.272,0.004,0.20400000000000001,0.008,0.014000000000000002
7,0.024,0.0,0.0,0.002,0.002
8,0.024,0.02,0.0,0.002,0.002
9,0.024,0.002,0.0,0.004,0.002
10,0.038,0.002,0.0,0.0,0.004
11,0.048,0.002,0.0,0.002,0.002
12,0.01,0.002,0.002,0.002,0.002
13,0.008,0.002,0.002,0.002,0.002
14,0.002,0.002,0.002,0.002,0.002
15,0.008,0.002,0.002,0.002,0.002
16,0.006,0.002,0.002,0.002,0.002
17,0.004,0.024,0.002,0.002,0.002
18,0.006,0.024,0.002,0.006,0.002
19,0.012,0.036,0.004,0.006,0.004
20,0.002,0.002,0.004,0.006,0.004
21,0.006,0.006,0.004,0.01,0.004
22,0.01,0.01,0.006,0.002,0.006
23,0.008,0.016,0.004,0.006,0.002
24,0.004,0.004,0.008,0.002,0.002
25,0.002,0.004,0.006,0.002,0.002
26,0.004,0.02,0.002,0.008,0.002
27,0.2,0.13799999999999998,0.134,0.126,0.11200000000000002
28,0.132,0.13,0.10600000000000001,0.11599999999999999,0.10200000000000001
29,0.134,0.16599999999999998,0.086,0.144,0.11399999999999999
30,0.132,0.16799999999999998,0.126,0.126,0.11000000000000001
31,0.186,0.22599999999999998,0.172,0.176,0.10200000000000001
32,0.298,0.348,0.076,0.062,0.16999999999999998
33,0.288,0.16999999999999998,0.044,0.052000000000000005,0.10600000000000001
34,0.16399999999999998,0.158,0.06,0.06,0.154
35,0.136,0.16999999999999998,0.062,0.052000000000000005,0.18
36,0.16799999999999998,0.20400000000000001,0.064,0.052000000000000005,0.16
37,0.134,0.06999999999999999,0.158,0.024,0.05600000000000001
38,0.13,0.072,0.156,0.028000000000000004,0.044
39,0.08399999999999999,0.08,0.21400000000000002,0.03,0.068
40,0.11599999999999999,0.052000000000000005,0.21800000000000003,0.014000000000000002,0.06
41,0.176,0.054000000000000006,0.22000000000000003,0.028000000000000004,0.062
42,0.01,0.01,0.036,0.01,0.006
43,0.006,0.008,0.046,0.014000000000000002,0.01
44,0.016,0.01,0.048,0.02,0.012
45,0.02,0.01,0.05,0.01,0.008
46,0.018,0.01,0.062,0.016,0.006
47,0.006,0.0,0.0,0.002,0.002
48,0.004,0.0,0.002,0.01,0.002
49,0.004,0.0,0.002,0.008,0.002
50,0.01,0.0,0.002,0.01,0.002
51,0.006,0.0,0.002,0.008,0.002
52,0.004,0.002,0.0,0.0,0.002
53,0.0,0.002,0.0,0.0,0.008
54,0.0,0.002,0.002,0.0,0.006
55,0.0,0.002,0.002,0.0,0.002
56,0.0,0.002,0.0,0.0,0.006
57,0.052000000000000005,0.098,0.32599999999999996,0.356,0.198
58,0.06999999999999999,0.23199999999999998,0.288,0.35,0.282
59,0.088,0.21400000000000002,0.308,0.364,0.272
60,0.092,0.20800000000000002,0.254,0.372,0.25
61,0.094,0.194,0.27799999999999997,0.39,0.368
62,0.024,0.122,0.188,0.16,0.096
63,0.041999999999999996,0.144,0.18,0.308,0.08
64,0.034,0.13999999999999999,0.172,0.266,0.036
65,0.03,0.142,0.16799999999999998,0.268,0.08
66,0.02,0.15,0.156,0.284,0.066
67,0.034,0.06999999999999999,0.12,0.176,0.08199999999999999
68,0.024,0.076,0.062,0.152,0.08399999999999999
69,0.024,0.08199999999999999,0.09,0.144,0.08
70,0.03,0.088,0.041999999999999996,0.136,0.08
71,0.028000000000000004,0.086,0.068,0.10400000000000001,0.076
72,0.002,0.012,0.016,0.018,0.026000000000000002
73,0.008,0.01,0.014000000000000002,0.03,0.02
74,0.008,0.008,0.016,0.01,0.022
75,0.008,0.008,0.018,0.028000000000000004,0.02
76,0.006,0.006,0.016,0.03,0.018
77,0.01,0.002,0.004,0.012,0.006
78,0.0,0.004,0.002,0.016,0.004
79,0.004,0.004,0.004,0.016,0.006
80,0.002,0.002,0.002,0.01,0.004
81,0.004,0.004,0.002,0.014000000000000002,0.004
82,0.002,0.002,0.01,0.002,0.002
83,0.014000000000000002,0.0,0.022,0.004,0.002
84,0.006,0.006,0.008,0.004,0.002
85,0.004,0.006,0.0,0.004,0.002
86,0.002,0.004,0.0,0.002,0.002
87,0.118,0.16799999999999998,0.13999999999999999,0.066,0.5820000000000001
88,0.096,0.16399999999999998,0.134,0.06999999999999999,0.564
89,0.066,0.16599999999999998,0.118,0.06999999999999999,0.558
90,0.12,0.13799999999999998,0.132,0.078,0.5660000000000001
