,Pot1,Pot2,Pot3,Pot4
1,2.8299999999999996,2.8299999999999996,2.7339999999999995,3.1
2,0.522,0.51,0.866,0.45
3,0.51,0.426,0.8380000000000001,0.736
4,0.522,0.52,0.884,0.44000000000000006
5,0.48200000000000004,0.512,0.852,0.426
6,0.454,0.536,0.8699999999999999,0.836
7,0.604,0.256,0.152,0.33199999999999996
8,0.584,0.25,0.15,0.314
9,0.682,0.236,0.16,0.34199999999999997
10,0.654,0.25,0.158,0.33399999999999996
11,0.614,0.33599999999999997,0.186,0.35
12,0.508,0.034,0.42400000000000004,0.118
13,0.618,0.03,0.47000000000000003,0.098
14,0.538,0.036,0.354,0.136
15,0.5599999999999999,0.03,0.49000000000000005,0.142
16,0.548,0.04,0.384,0.08
17,0.306,0.01,0.386,0.041999999999999996
18,0.38,0.022,0.46399999999999997,0.036
19,0.368,0.022,0.376,0.04
20,0.32799999999999996,0.02,0.368,0.041999999999999996
21,0.302,0.014000000000000002,0.40800000000000003,0.038
22,0.05,0.002,0.182,0.004
23,0.028000000000000004,0.014000000000000002,0.16599999999999998,0.006
24,0.026000000000000002,0.006,0.06999999999999999,0.006
25,0.04,0.01,0.088,0.01
26,0.028000000000000004,0.01,0.11599999999999999,0.014000000000000002
27,0.194,0.154,0.176,0.3
28,0.16599999999999998,0.22000000000000003,0.18,0.372
29,0.174,0.18,0.158,0.398
30,0.194,0.22599999999999998,0.13,0.404
31,0.198,0.236,0.182,0.41
32,0.506,0.2,0.24,0.6900000000000001
33,0.484,0.174,0.23399999999999999,0.6940000000000001
34,0.47400000000000003,0.21000000000000002,0.316,0.7
35,0.466,0.184,0.26,0.6940000000000001
36,0.496,0.16399999999999998,0.22599999999999998,0.7
37,0.6679999999999999,0.178,0.522,0.5740000000000001
38,0.614,0.132,0.49400000000000005,0.548
39,0.618,0.10600000000000001,0.47000000000000003,0.484
40,0.764,0.184,0.522,0.49800000000000005
41,0.6940000000000001,0.146,0.502,0.632
42,0.22799999999999998,0.05600000000000001,0.158,0.158
43,0.274,0.038,0.16799999999999998,0.16799999999999998
44,0.244,0.046,0.148,0.148
45,0.27799999999999997,0.057999999999999996,0.122,0.122
46,0.32799999999999996,0.036,0.176,0.176
47,0.5700000000000001,0.026000000000000002,0.196,0.10800000000000001
48,0.514,0.024,0.21800000000000003,0.12
49,0.33799999999999997,0.024,0.254,0.11599999999999999
50,0.34199999999999997,0.024,0.21200000000000002,0.10200000000000001
51,0.528,0.024,0.33799999999999997,0.06999999999999999
52,0.39,0.024,0.174,0.064
53,0.364,0.024,0.148,0.05600000000000001
54,0.31,0.016,0.148,0.038
55,0.36,0.01,0.156,0.057999999999999996
56,0.314,0.014000000000000002,0.13999999999999999,0.036
57,0.274,0.364,0.19,0.376
58,0.536,0.296,0.16599999999999998,0.27999999999999997
59,0.48,0.348,0.196,0.49400000000000005
60,0.434,0.254,0.282,0.47800000000000004
61,0.462,0.3,0.262,0.466
62,0.5,0.37,0.25,0.45999999999999996
63,0.9339999999999999,0.294,0.22200000000000003,0.388
64,0.666,0.282,0.21400000000000002,0.41200000000000003
65,0.8400000000000001,0.266,0.296,0.396
66,0.8320000000000001,0.32799999999999996,0.308,0.308
67,0.952,0.20400000000000001,0.296,0.442
68,0.8240000000000001,0.20400000000000001,0.324,0.42400000000000004
69,0.8320000000000001,0.2,0.236,0.388
70,0.9380000000000001,0.20600000000000002,0.21600000000000003,0.31
71,0.8699999999999999,0.192,0.25,0.304
72,0.516,0.12,0.27599999999999997,0.134
73,0.442,0.13999999999999999,0.258,0.12
74,0.488,0.16799999999999998,0.258,0.11000000000000001
75,0.508,0.122,0.22400000000000003,0.12
76,0.446,0.124,0.258,0.128
77,0.382,0.04,0.182,0.08
78,0.4,0.048,0.174,0.072
79,0.392,0.05,0.258,0.08
80,0.33599999999999997,0.041999999999999996,0.20400000000000001,0.072
81,0.36,0.046,0.24,0.06999999999999999
82,0.12,0.02,0.11399999999999999,0.026000000000000002
83,0.10800000000000001,0.02,0.12,0.024
84,0.184,0.018,0.136,0.024
85,0.13999999999999999,0.018,0.134,0.026000000000000002
86,0.13,0.02,0.132,0.022
87,0.45199999999999996,0.186,0.21200000000000002,0.472
88,0.454,0.27,0.12,0.47800000000000004
89,0.446,0.27599999999999997,0.1,0.508
90,0.462,0.134,0.21800000000000003,0.522
