,Pot1,Pot2,Pot3,Pot4,Pot5
1,0.0,0.0,0.0,0.0,0.0
2,4.276000000000001,2.114,1.8060000000000003,4.706,0.982
3,2.6100000000000003,0.692,0.252,0.642,0.4880000000000001
4,1.508,0.022,0.008,0.032,0.064
5,0.158,0.026000000000000002,0.0,0.01,0.012
6,0.033999999999999996,0.01,0.01,0.01,0.01
7,0.03,0.092,0.016,0.030000000000000006,0.016
8,0.027999999999999997,0.054000000000000006,0.026000000000000002,0.02,0.014000000000000002
9,0.784,0.828,0.624,0.688,0.54
10,1.0539999999999998,1.05,0.306,0.278,0.7699999999999999
11,0.6399999999999999,0.32799999999999996,0.966,0.12400000000000003,0.29000000000000004
12,0.06999999999999999,0.048,0.242,0.07,0.042
13,0.030000000000000006,0.0,0.008,0.038000000000000006,0.01
14,0.004,0.01,0.004,0.0,0.024
15,0.396,0.946,1.4539999999999997,1.832,1.3699999999999999
16,0.15,0.6980000000000001,0.8639999999999999,1.286,0.358
17,0.14,0.40199999999999997,0.382,0.7120000000000001,0.40199999999999997
18,0.032,0.044,0.08000000000000002,0.11599999999999999,0.10600000000000001
