Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,2.91
,,,2.84
,,,2.85
,,,3.27
,,,2.9
16/02,Morning,WET +,2.34
,,,2.42
,,,2.42
,,,2.94
,,,3.55
,Night,DRY,4.33
,,,4.19
,,,4.42
,,,4.26
,,,4.35
17/02,Morning,DRY +,0.76
,,,0.75
,,,0.8
,,,0.79
,,,0.93
,Night,,2.12
,,,2.35
,,,1.77
,,,2.45
,,,1.92
18/02,Morning,DRY +,1.93
,,,2.32
,,,1.88
,,,1.84
,,,2.04
,Night,DRY +,0.91
,,,0.83
,,,0.35
,,,0.44
,,,0.58
19/02,Morning,WET,0.88
,,,0.9
,,,0.79
,,,0.65
,,,0.91
,Night,NOR,1.2
,,,1.17
,,,1.58
,,,1.3
,,,1.13
20/02,Morning,DRY,2.61
,,,2.47
,,,2.35
,,,2.61
,,,2.51
,Night,DRY +,0.79
,,,0.84
,,,0.74
,,,0.61
,,,0.88
21/02,Morning,DRY +,0.98
,,,1.09
,,,1.27
,,,1.06
,,,1.69
,Night,DRY +,0.87
,,,0.74
,,,0.74
,,,0.78
,,,0.7
22/02,Morning,WET +,0.95
,,,0.83
,,,0.98
,,,1.41
,,,1.31
,Night,WET,1.25
,,,1.11
,,,1.07
,,,1.48
,,,1.54
23/02,Morning,NOR,1.48
,,,1.62
,,,1.18
,,,1.08
,,,1.25
,Night,DRY,1.38
,,,1.29
,,,1.29
,,,1.12
,,,1.29
24/02,Morning,DRY +,0.91
,,,0.87
,,,1.29
,,,1.02
,,,1.2
