Date,Time,Humidity,Voltage
15/02,Morning,NAN,0
,,,0
,,,0
,,,0
,,,0
,Night,WET +,1.88
,,,2
,,,1.89
,,,1.95
,,,1.9
16/02,Morning,WET +,0.88
,,,0.87
,,,0.91
,,,0.89
,,,0.87
,Night,DRY +,1.03
,,,1.05
,,,1.04
,,,1.05
,,,1.04
17/02,Morning,DRY +,1.14
,,,1.15
,,,1.15
,,,1.14
,,,1.14
,Night,DRY +,1.37
,,,1.41
,,,1.39
,,,1.35
,,,1.4
18/02,Morning,DRY +,1.65
,,,1.64
,,,1.63
,,,1.64
,,,1.63
,Night,DRY +,1.59
,,,1.74
,,,1.66
,,,1.6
,,,1.63
19/02,Morning,WET,0.98
,,,0.99
,,,0.98
,,,1
,,,0.99
,Night,NOR,1.03
,,,1.01
,,,1.24
,,,1.27
,,,1.26
20/02,Morning,DRY,1.22
,,,1.24
,,,1.23
,,,1.21
,,,1.2
,Night,DRY,1.28
,,,1.23
,,,1.27
,,,1.12
,,,1.28
21/02,Morning,DRY,1.15
,,,1.57
,,,1.61
,,,1.57
,,,1.48
,Night,DRY+,1.82
,,,1.66
,,,1.45
,,,1.89
,,,1.89
22/02,Morning,WET +,0.52
,,,0.49
,,,0.4
,,,0.75
,,,0.73
,Night,WET +,0.74
,,,0.83
,,,0.93
,,,0.82
,,,0.51
23/02,Morning,WET,0.69
,,,0.7
,,,0.69
,,,1.25
,,,0.69
,Night,NOR,1.45
,,,0.69
,,,1.47
,,,1.45
,,,1.46
24/02,Morning,NOR,1.71
,,,1.23
,,,1.16
,,,1.29
,,,1.46
,Night,DRY,1.23
,,,1.36
,,,1.78
,,,1.78
,,,0.53
25/02,Morning,WET +,0.86
,,,0.39
,,,0.67
,,,0.41
,,,0.42
